pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
774464,1238,17521.27,1961,10,4
774308,317,37939.38,2257,10,4
774453,1306,48992.27,3246,10,4
774452,276,61730.11,3457,10,4
774457,179,52708.61,3546,10,4
774597,193,63941.98,4043,10,4
774454,1638,41231.92,4396,10,4
774598,193,109732.08,12202,11,1
774872,1229,1307.89,13,11,1
774906,315,1177.84,16,11,1
774934,1368,1609.06,17,11,1
774920,103,1202.19,19,11,1
774860,103,1451.89,20,11,1
774865,213,1581.59,21,11,1
774828,227,2130.53,24,11,1
774919,1479,1437.76,25,11,1
774879,1479,1191.26,25,11,1
774922,290,1325.11,26,11,1
774875,1305,1395.91,27,11,1
774908,305,2320.33,30,11,1
774930,124,2316.21,31,11,1
774867,556,1461.06,31,11,1
774885,179,1264.38,33,11,1
774837,227,1384.24,33,11,1
774949,1510,1268.48,34,11,1
774646,1614,1738.98,34,11,1
774896,337,1482.11,37,11,1
774928,530,2531.65,37,11,1
774915,305,2108.14,39,11,1
774925,565,3287.86,39,11,1
774866,1479,1214.17,40,11,1
774858,148,1255.17,42,11,1
774831,897,3873.64,43,11,1
774898,282,1548.34,43,11,1
774935,238,2342.87,44,11,1
774897,244,1400.37,45,11,1
774913,1229,3022.98,46,11,1
774577,615,1241.57,47,11,1
774936,498,1238.82,48,11,1
774881,814,1660.48,49,11,1
774889,1305,1823.98,49,11,1
774830,1306,1580.31,50,11,1
774933,282,1223.27,52,11,1
774822,1192,1491.13,54,11,1
775000,200,1553.71,58,11,1
774873,974,1660.06,59,11,1
774882,453,1909.64,59,11,1
774298,1287,2964.33,59,11,1
774877,296,2285.92,62,11,1
774851,1306,1814.76,62,11,1
774890,337,1764.89,64,11,1
774891,676,1750.71,67,11,1
774845,1306,2252.75,68,11,1
774869,1354,2425.34,68,11,1
774902,605,3465.75,69,11,1
774914,1380,3411.22,70,11,1
774924,1170,1544.41,70,11,1
774645,1614,4117.12,73,11,1
774852,8,1986.58,75,11,1
774917,1226,3165.27,77,11,1
774901,4,1833.64,80,11,1
774883,1148,2668.91,80,11,1
774929,879,1234.65,81,11,1
774903,468,6464.9,83,11,1
774969,329,1482.78,83,11,1
774863,932,5148.96,84,11,1
774838,1306,4501.69,84,11,1
774912,168,1497.54,84,11,1
774926,337,4765.09,84,11,1
774892,172,2706.6,85,11,1
774921,728,1648.92,91,11,1
774836,897,9400.8,92,11,1
774870,767,2348.79,95,11,1
774880,1614,910.68,96,11,1
774911,615,1360.23,99,11,1
774894,60,1414.87,100,11,1
774923,337,2013.65,106,11,1
774862,337,5534.81,107,11,1
774847,1237,7201.37,111,11,1
774868,618,1767.9,115,11,1
774835,1306,4125.84,115,11,1
774827,1306,5104.35,115,11,1
775006,1162,1529.52,117,11,1
774829,154,1700.0,118,11,1
774938,591,1739.38,118,11,1
774909,710,2356.65,122,11,1
774717,291,2075.96,127,11,1
774884,238,2342.37,130,11,1
774937,240,3873.04,138,11,1
774864,165,3901.57,143,11,1
