NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
776128	25/09/2017	98	2574.58	1306
777362	25/09/2017	95	2575.75	1515
777321	25/09/2017	189	1689.48	1506
777378	25/09/2017	956	18818.13	1506
777358	25/09/2017	6551	48856.36	1328
777359	25/09/2017	6232	46592.68	1328
777703	26/09/2017	3900	62869.4	591
777704	26/09/2017	110	2596.24	591
777700	26/09/2017	2191	41241.68	1385
777702	26/09/2017	125	1809	1385
777701	26/09/2017	5525	117283.48	1547
777738	26/09/2017	56	1626.03	139
777735	26/09/2017	733	8349.25	139
777736	26/09/2017	170	2427.59	139
777743	26/09/2017	1667	32907.26	139
777694	26/09/2017	158	1958.69	1306
777695	26/09/2017	44	4052.19	1306
777696	26/09/2017	243	3087.92	1306
777697	26/09/2017	325	3468.22	1306
777698	26/09/2017	268	6799.92	1306
777699	26/09/2017	206	2235.58	1306
777687	26/09/2017	44	1711.04	1306
777688	26/09/2017	39	1929.55	1306
777689	26/09/2017	1010	13117.57	1306
777690	26/09/2017	265	5343.24	1306
777691	26/09/2017	669	10253.44	1306
777692	26/09/2017	1358	20761.38	1306
777693	26/09/2017	3679	41991.57	1306
777686	26/09/2017	1592	32264.26	1306
777814	26/09/2017	81	1611.42	40
777753	26/09/2017	1337	20001.76	89
777777	26/09/2017	484	9759.4	419
777756	26/09/2017	1941	33614.71	609
777682	26/09/2017	88	1618.02	379
777683	26/09/2017	30	3062.86	379
777684	26/09/2017	427	9591.59	379
777685	26/09/2017	59	1394.12	379
777769	26/09/2017	1709	11235.6	48
777742	27/09/2017	743	13434.65	154
777709	26/09/2017	3135	50831.63	186
777705	26/09/2017	906	10465.26	227
777706	26/09/2017	490	11903.98	227
777715	26/09/2017	94	1862.42	227
777710	26/09/2017	103	1552.96	227
777713	26/09/2017	554	9553.62	227
777711	26/09/2017	716	13043.96	498
777723	27/09/2017	267	5378.42	593
777707	26/09/2017	927	12915	1305
777708	26/09/2017	369	19132.34	1305
777712	26/09/2017	2275	55903.72	1305
